Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
,,,,,,,,mean,std,mean,std,mean,std
Standard,KCl,0.1,0.03,10,0,133,pos,6.806718815255408e-06,2.6484883403300555e-06,-1.232244528637295e-08,8.917077249098473e-09,1.6974464440347431e-06,4.06868118150592e-07
Standard,KCl,0.1,0.03,10,0,134,pos,6.801736489592258e-06,2.6421347629609006e-06,-4.9823256631503875e-09,6.369929617374745e-09,1.6827285109697454e-06,5.586029470280379e-07
Standard,KCl,0.1,0.03,10,0,135,pos,6.794815845978519e-06,2.6389419849437324e-06,-6.920643613738667e-09,6.2457685865286226e-09,1.610597516831509e-06,6.82220771905421e-07
Standard,KCl,0.1,0.03,10,0,136,pos,6.790780744836411e-06,2.634899601601558e-06,-4.035101142108033e-09,6.504256266333956e-09,1.537291383693462e-06,6.230949180668031e-07
Standard,KCl,0.1,0.03,10,0,137,pos,6.786279233968647e-06,2.6351662170629205e-06,-4.5015108677638236e-09,4.129015483409118e-09,1.5527093582708524e-06,6.478776895193205e-07
Standard,KCl,0.1,0.03,10,0,138,pos,6.782600815805988e-06,2.6331963968579204e-06,-3.6784181626598885e-09,1.971169284893746e-09,1.3865885358086033e-06,6.578262086869414e-07
Standard,KCl,0.1,0.03,10,0,139,pos,6.781754791518324e-06,2.629065411762911e-06,-8.460242876626997e-10,4.208101086317665e-09,1.464310417698484e-06,7.536602627278661e-07
Standard,KCl,0.1,0.03,10,1,1,neg,6.649260579176068e-06,2.6483025722897748e-06,0.0,0.0,0.0,0.0
Standard,KCl,0.1,0.03,10,1,2,neg,6.738736990049195e-06,2.6781732467373318e-06,8.947641087312784e-08,3.266544005583016e-08,1.0190826250316226e-06,4.0424941453658127e-07
Standard,KCl,0.1,0.03,10,1,3,neg,6.787241460415316e-06,2.696195441280848e-06,4.850447036612091e-08,2.0872186904912012e-08,1.3258218148405993e-06,4.318075545221555e-07
