Type	Chip	Disp	Electrolyte	Measure	Sweep	VGSmin [V]	IDSmin [A]	IDSmax [A]	Ronoff	Res [ohm]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	min |gm| [S]	VGS min gm [V]	min gm [S]	VGS max gm [V]	max gm [S]
Enode	2	1	KCl	250	2	0.14	7.240103e-06	1.669217e-05	2.305515543079981	13043.09830974489	1.669217e-05	9.632293e-06	0.14	2.909000000000212e-07	-0.56	-2.046575000000015e-05	0.6	8.411300000000026e-06
Enode	2	1	KCl	210	2	0.08	7.15689e-06	1.754597e-05	2.451619348627686	13582.04225835136	1.754597e-05	1.044293e-05	0.08	4.439249999999993e-07	-0.54	-2.2029000000000016e-05	0.6	9.291499999999969e-06
Enode	2	1	KCl	152	1	0.16	1.121417e-05	1.798123e-05	1.6034383284719242	8608.467116086042	1.766967e-05	1.295363e-05	0.16	5.2500000000013473e-08	-0.44	-1.4955999999999995e-05	-0.6	1.539500000000003e-05
Enode	2	1	KCl	110	2	0.18	1.261967e-05	2.835773e-05	2.247105510682926	7389.617587289858	2.835773e-05	1.515403e-05	0.18	2.5899999999995805e-07	-0.6	-2.9316499999999983e-05	0.6	8.77799999999996e-06
Enode	2	1	KCl	140	2	0.14	1.147403e-05	2.342077e-05	2.041198253795746	8423.343781087404	2.342077e-05	1.387197e-05	0.14	1.6250000000001073e-07	-0.6	-2.9818499999999864e-05	0.6	8.271999999999971e-06
Enode	2	1	KCl	150	1	0.14	1.134517e-05	1.959243e-05	1.7269401868812897	8529.781304937123	1.87134e-05	1.379437e-05	0.14	1.9499999999998042e-07	-0.42	-1.840750000000008e-05	-0.6	3.864350000000007e-05
Enode	2	1	KCl	151	1	0.3	1.168627e-05	2.3976e-05	2.051638375632259	7379.109887490712	2.298757e-05	1.280513e-05	0.3	2.2575000000000375e-07	-0.42	-2.2438250000000035e-05	-0.6	4.866799999999998e-05
Enode	2	3	MgCl2	210	2	0.14	8.785507e-06	1.9748e-05	2.2477928706903314	10882.130529632206	1.9748e-05	1.132397e-05	0.14	9.310000000003472e-08	-0.5	-2.312325000000004e-05	0.6	8.638500000000027e-06
Enode	2	3	MgCl2	230	2	0.16	8.620293e-06	1.865197e-05	2.1637280774563	10995.59263660347	1.865197e-05	1.087593e-05	0.16	8.535000000002114e-08	-0.52	-2.14635e-05	0.6	8.556500000000053e-06
Enode	2	3	MgCl2	250	2	0.24	8.642277e-06	1.91517e-05	2.216047923481277	10409.556722559397	1.91517e-05	1.00702e-05	0.24	2.1440000000000933e-07	-0.54	-2.098000000000004e-05	0.6	7.292850000000016e-06
Enode	2	3	MgCl2	151	1	0.26	1.06277e-05	1.97161e-05	1.8551615118981528	8412.38875667418	1.628973e-05	1.233957e-05	0.26	3.317499999999922e-07	-0.34	-1.7708499999999968e-05	-0.6	0.0001286769999999
Enode	2	3	MgCl2	110	2	0.04	1.036877e-05	2.11361e-05	2.0384385033133148	9588.435579616136	2.11361e-05	1.3928e-05	0.04	4.040000000000185e-07	-0.46	-2.52265e-05	0.5	8.351499999999983e-06
Enode	2	3	MgCl2	150	1	0.06	1.008467e-05	1.57453e-05	1.5613103849704553	9826.339108927918	1.346423e-05	1.31572e-05	0.06	3.7649999999996497e-07	-0.36	-1.4415999999999951e-05	-0.6	8.035999999999996e-05
Enode	2	3	MgCl2	152	1	0.16	1.034633e-05	1.620217e-05	1.565982333832383	9318.275000931828	1.403527e-05	1.233813e-05	0.16	2.8500000000015062e-08	-0.38	-1.3096499999999938e-05	-0.6	8.065999999999984e-05
Enode	2	3	MgCl2	140	2	0.08	1.01882e-05	2.00048e-05	1.9635264325396045	9687.228454877375	2.00048e-05	1.3241e-05	0.08	7.499999999998827e-08	-0.5	-2.2592500000000052e-05	0.54	8.915750000000004e-06
