Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.77,-5.24521e-07,2.67029e-05,6.36578e-06,0.10003
0.772,-1.46627e-06,1.88351e-05,6.49691e-06,0.100028
0.774,-6.91414e-07,4.69685e-05,6.31809e-06,0.10003
0.776,-3.93391e-07,2.26498e-05,6.1512e-06,0.100032
0.778,-2.6226e-07,2.57492e-05,6.28233e-06,0.100031
0.78,-9.89437e-07,3.52859e-05,6.1512e-06,0.100031
0.782,-7.27177e-07,4.31538e-05,6.44922e-06,0.100028
0.784,-7.27177e-07,3.91006e-05,5.72205e-06,0.100031
0.786,-3.09944e-07,2.07424e-05,5.98431e-06,0.100031
0.788,-4.76837e-08,3.52859e-05,6.49691e-06,0.100031
0.79,-1.03712e-06,3.33786e-05,6.31809e-06,0.100033
0.792,-5.24521e-07,3.91006e-05,6.18696e-06,0.100031
0.794,-3.45707e-07,4.60148e-05,6.23465e-06,0.100028
0.796,-4.29153e-07,3.8147e-05,6.49691e-06,0.100029
0.798,-1.78814e-07,2.86102e-05,5.85318e-06,0.100035
0.8,-7.7486e-07,1.78814e-05,6.28233e-06,0.100028
0.802,-6.4373e-07,2.76566e-05,6.44922e-06,0.100027
0.804,-4.29153e-07,2.76566e-05,6.40154e-06,0.100028
